code,name,ticker,market,size_category,sector_33,fy_end,announce_proxy_date,buyback_jpy,market_cap_at_announce,buyback_pct_mcap,price_at_announce,price_1y_later,price_1y_return_pct,pbr_pre,pbr_post,pbr_delta,roe_pre_pct,roe_post_pct,roe_delta_pct,equity_pre,equity_post,net_income_pre,net_income_post
3941,レンゴー,3941.T,TSE Prime,TOPIX Mid400,パルプ・紙,2024-03-31,2024-06-29,910000000.0,245750859544.7157,0.3702937201057564,990.7576904296875,765.2437133789062,-22.761769020735713,0.5759387972218627,0.4050177080882716,-0.1709210891335911,7.765271308351224,6.2459048899924134,-1.5193664183588105,425291000000.0,463968000000.0,33025000000.0,28979000000.0
4540,ツムラ,4540.T,TSE Prime,TOPIX Mid400,医薬品,2025-03-31,2025-06-29,912000000.0,254360379608.01562,0.3585464062466984,3412.1513671875,,,0.8517501218087855,0.969428428197368,0.11767830638858245,10.79034233083107,,,300528000000.0,,32428000000.0,
4004,レゾナック・ホールディングス,4004.T,TSE Prime,TOPIX Mid400,化学,2024-12-31,2025-03-31,1883000000.0,531524039951.6865,0.35426431515141954,2936.8642578125,9802.0,233.75733910497254,0.8387219679627981,2.7852407490999527,1.9465187811371547,11.059468926417662,4.154098435720296,-6.905370490697366,664616000000.0,698852000000.0,73503000000.0,29031000000.0
417A,ブルーゾーンホールディングス,417A.T,TSE Prime,TOPIX Mid400,小売業,2025-03-31,2025-06-29,6239000000.0,1781366737500.0,0.3502366957157804,8750.0,,,1.9267698339609722,1.9267698339609722,0.0,11.14068315093152,,,181102000000.0,,20176000000.0,
4543,テルモ,4543.T,TSE Prime,TOPIX Large70,精密機器,2024-03-31,2024-06-29,11111000000.0,3700471248285.9185,0.3002590549824346,2508.65283203125,2633.7587890625,4.986977689134919,2.9223774134149063,2.9001497814031367,-0.022227632011769582,8.015582967244121,8.547680548908138,0.5320975816640168,1327090000000.0,1368535000000.0,106374000000.0,116978000000.0
5393,ニチアス,5393.T,TSE Prime,TOPIX Mid400,ガラス・土石製品,2024-03-31,2024-06-29,2568000000.0,868588827207.8467,0.29565197243614755,4593.54736328125,5449.81298828125,18.640618182030778,4.500860374486813,4.908823545459027,0.4079631709722138,13.502103365384615,14.888658846248473,1.3865554808638585,199680000000.0,215419000000.0,26961000000.0,32073000000.0
4503,アステラス製薬,4503.T,TSE Prime,TOPIX Large70,医薬品,2025-03-31,2025-06-29,6960000000.0,2477449001437.29,0.28093413813814777,1382.8968505859375,,,1.6193373613570305,2.6134357318403048,0.9940983704832742,3.3534995754185513,,,1513255000000.0,,50747000000.0,
3003,ヒューリック,3003.T,TSE Prime,TOPIX Mid400,不動産業,2025-12-31,2026-03-31,3121000000.0,1389175444205.5,0.2246656470223578,1829.5,,,1.5463168672168732,1.4008300651937804,-0.14548680202309283,12.518037913010726,,,913354000000.0,,114334000000.0,
4716,日本オラクル,4716.T,TSE Prime,TOPIX Mid400,情報・通信業,2025-05-31,2025-08-29,3578000000.0,1957539992525.0,0.18278042919495066,15275.0,,,11.94684813477517,6.603005330570251,-5.343842804204919,37.09982893450635,,,163680000000.0,,60725000000.0,
1893,五洋建設,1893.T,TSE Prime,TOPIX Mid400,建設業,2024-03-31,2024-06-29,304000000.0,173753446224.7826,0.17496055854150894,636.2645263671875,890.7682495117188,39.99967192853644,1.037121733986722,1.4516955526523785,0.41457381866565646,10.332011606533879,7.241701974322762,-3.0903096322111168,173006000000.0,172059000000.0,17875000000.0,12460000000.0
1333,マルハニチロ,1333.T,TSE Prime,TOPIX Mid400,水産・農林業,2024-03-31,2024-06-29,266000000.0,153921512382.67548,0.17281534977299212,1018.1118774414062,1001.588623046875,-1.622931110091308,0.7315477644117064,0.6540782544453336,-0.07746950996637281,10.067687613456414,10.133816559799275,0.06612894634286093,207128000000.0,229568000000.0,20853000000.0,23264000000.0
5201,ＡＧＣ,5201.T,TSE Prime,TOPIX Mid400,ガラス・土石製品,2024-12-31,2025-03-31,1262000000.0,922825622147.8491,0.1367538969131278,4344.88037109375,5498.0,26.53973252239328,0.6604720962312802,0.7970488253158318,0.13657672908455154,-6.549857325633955,4.656978599795573,11.206835925429527,1435787000000.0,1485126000000.0,-94042000000.0,69162000000.0
5016,ＪＸ金属,5016.T,TSE Prime,TOPIX Mid400,非鉄金属,2025-03-31,2025-06-29,1000000000.0,744881936430.2461,0.1342494630481141,804.2987670898438,,,1.2181723089273617,5.583972733742818,4.365800424815456,11.095617238504332,,,615297000000.0,,68271000000.0,
5021,コスモエネルギーホールディングス,5021.T,TSE Prime,TOPIX Mid400,石油・石炭製品,2024-03-31,2024-06-29,793000000.0,616973675475.6995,0.12853060535987706,3885.481201171875,3025.529541015625,-22.132436515119036,1.1043955064645299,0.8545356038455123,-0.24985990261901758,13.650276132809902,9.861965655577634,-3.788310477232267,601160000000.0,584782000000.0,82060000000.0,57671000000.0
1959,クラフティア,1959.T,TSE Prime,TOPIX Mid400,建設業,2024-03-31,2024-06-29,482000000.0,398640465041.7041,0.12091095668112245,5635.70068359375,5898.083984375,4.655735205119771,1.395417327486876,1.3231971935175697,-0.07222013396930627,9.701882754632434,9.314002121875635,-0.38788063275679896,288779000000.0,310103000000.0,28017000000.0,28883000000.0
3048,ビックカメラ,3048.T,TSE Prime,TOPIX Mid400,小売業,2024-08-31,2024-11-29,279000000.0,277439014697.17676,0.10056264087605958,1620.0560302734375,1565.0,-3.3984028480882222,1.8191473330369776,1.6235790894710929,-0.19556824356588476,9.123110831234257,10.366960503992312,1.2438496727580546,152448000000.0,168574000000.0,13908000000.0,17476000000.0
1808,長谷工コーポレーション,1808.T,TSE Prime,TOPIX Mid400,建設業,2025-03-31,2025-06-29,545000000.0,562544547189.7456,0.09688121638057086,2125.661865234375,,,1.084203584579458,1.3686382329443523,0.2844346483648943,6.475162254972906,,,532033000000.0,,34450000000.0,
4911,資生堂,4911.T,TSE Prime,TOPIX Mid400,化学,2024-12-31,2025-03-31,1047000000.0,1108276601983.3496,0.09447100102323822,2773.779296875,3190.0,15.005545091273964,1.7728309536613662,2.1374896826065823,0.3646587289452161,-1.709635494897814,-6.771467950382518,-5.061832455484704,632474000000.0,600756000000.0,-10813000000.0,-40680000000.0
4272,日本化薬,4272.T,TSE Prime,TOPIX Mid400,化学,2024-03-31,2024-06-29,157000000.0,172210241075.07568,0.0911676326679987,1159.7056884765625,1267.746337890625,9.31621276739525,0.7072489130344076,0.7567878863046091,0.049538973270201514,1.5258198545778305,6.54441063672316,5.0185907821453295,269560000000.0,267526000000.0,4113000000.0,17508000000.0
4061,デンカ,4061.T,TSE Prime,TOPIX Mid400,化学,2024-03-31,2024-06-29,150000000.0,176131353703.86914,0.08516371267559553,2043.2939453125,1938.612060546875,-5.123192627559758,0.5678394082789379,0.5602055270235237,-0.007633881255414199,3.8847484522137243,-4.152865983976015,-8.037614436189738,307536000000.0,296181000000.0,11947000000.0,-12300000000.0
4062,イビデン,4062.T,TSE Prime,TOPIX Mid400,電気機器,2025-03-31,2025-06-29,641000000.0,883217565697.9453,0.07257554932045111,3162.870849609375,,,1.811293279835549,11.994425764975238,10.183132485139689,6.871453822990338,,,490493000000.0,,33704000000.0,
4927,ポーラ・オルビスホールディングス,4927.T,TSE Prime,TOPIX Mid400,化学,2024-12-31,2025-03-31,195000000.0,270605415390.95325,0.07206064214135426,1222.8980712890625,1307.5,6.9181504736333554,1.65581374193159,1.7795863875186273,0.12377264558703738,5.631564903088082,5.808655337989906,0.17709043490182452,164892000000.0,163067000000.0,9286000000.0,9472000000.0
3769,ＧＭＯペイメントゲートウェイ,3769.T,TSE Prime,TOPIX Mid400,情報・通信業,2025-09-30,2025-12-29,499665000.0,757759982394.0,0.06593974498645369,9978.0,,,6.7079078210701475,5.776221999044989,-0.9316858220251589,19.315665265929535,,,113013115000.0,,21829235000.0,
2229,カルビー,2229.T,TSE Prime,TOPIX Mid400,食料品,2024-03-31,2024-06-29,240000000.0,368552406951.4155,0.06511963983229067,3031.161376953125,2745.0,-9.44065133347568,1.9715139078963204,1.6666058671111565,-0.30490804078516387,10.370741221688544,10.173555773251648,-0.19718544843689578,191751000000.0,205179000000.0,19886000000.0,20874000000.0
5232,住友大阪セメント,5232.T,TSE Prime,TOPIX Mid400,ガラス・土石製品,2024-03-31,2024-06-29,71000000.0,119396252865.98145,0.05946585281842578,3767.4814453125,3726.7890625,-1.0800951087132638,0.6625753501515158,0.6408587282598417,-0.021716621891674115,7.892705717696456,4.713885763625422,-3.1788199540710345,194344000000.0,191095000000.0,15339000000.0,9008000000.0
