code,name,ticker,sector_33,size_category,slope_past,slope_recent,signal_strength,rebound_pct,today_close,recent_low,per,pbr,wave_types,market_cap
2607,不二製油,2607.T,食料品,TOPIX Mid400,-0.0045,0.00536,9.85,29.9,4008.0,3085.0,30.93,1.43,下降トレンド|高ボラ（荒い）,344617811968.0
9831,ヤマダホールディングス,9831.T,小売業,TOPIX Mid400,-0.00124,0.0084,9.64,32.3,685.7,518.4,31.47,0.72,上昇トレンド|ブレイク気味|高ボラ（荒い）,455606763520.0
8795,Ｔ＆Ｄホールディングス,8795.T,保険業,TOPIX Mid400,-0.00382,0.00579,9.61,28.2,4686.0,3655.0,16.17,1.39,上昇トレンド|ブレイク気味|高ボラ（荒い）,2248651309056.0
2805,ヱスビー食品,2805.T,食料品,TSE Standard Top100,-0.00362,0.00568,9.3,15.5,5140.0,4450.0,16.28,1.32,上昇トレンド|ブレイク気味|高ボラ（荒い）,124263669760.0
5471,大同特殊鋼,5471.T,鉄鋼,TOPIX Mid400,-0.00106,0.00812,9.18,20.8,2180.0,1805.0,13.49,0.92,ブレイク気味|高ボラ（荒い）,435681296384.0
5901,東洋製罐グループホールディングス,5901.T,金属製品,TOPIX Mid400,-0.00454,0.00408,8.62,22.0,3846.0,3152.0,10.64,0.83,下降トレンド|高ボラ（荒い）,579151069184.0
5018,ＭＯＲＥＳＣＯ,5018.T,石油・石炭製品,TSE Standard Top400,-0.00407,0.00446,8.53,11.9,1796.0,1605.0,10.81,0.7,高ボラ（荒い）,16482214912.0
6753,シャープ,6753.T,電気機器,TOPIX Mid400,-0.00227,0.00625,8.52,16.7,636.2,545.3,8.71,1.47,下降トレンド|高ボラ（荒い）,413088907264.0
8086,ニプロ,8086.T,精密機器,TOPIX Mid400,-0.00234,0.00617,8.51,18.9,1737.0,1460.5,23.68,1.03,上昇トレンド|ブレイク気味,283297349632.0
6357,三精テクノロジーズ,6357.T,機械,TSE Standard Top100,-0.00252,0.00586,8.39,15.5,2431.0,2104.0,8.78,0.86,レンジ（波型）|ブレイク気味|高ボラ（荒い）,43086598144.0
